DCINFO 1|decay calculator
1000003 1000023 3|BR(~s_L -> ~chi_20 s)
1000003 1000025 3|BR(~s_L -> ~chi_30 s)
1000003 -1000024 4|BR(~s_L -> ~chi_1- c)
1000003 1000021 3|BR(~s_L -> ~g s)
2000003
2000003 1000022 3|BR(~s_R -> ~chi_10 s)
1000011
1000011 1000022 11|BR(~e_L -> ~chi_10 e-)
1000011 1000023 11|BR(~e_L -> ~chi_20 e-)
1000011 1000025 11|BR(~e_L -> ~chi_30 e-)
1000011 -1000024 12|BR(~e_L -> ~chi_1- nu_e)
2000011
2000011 1000022 11|BR(~e_R -> ~chi_10 e-)
2000011 1000023 11|BR(~e_R -> ~chi_20 e-)
2000011 1000025 11|BR(~e_R -> ~chi_30 e-)
1000013
1000013 1000022 13|BR(~mu_L -> ~chi_10 mu-)
1000013 1000023 13|BR(~mu_L -> ~chi_20 mu-)
1000013 1000025 13|BR(~mu_L -> ~chi_30 mu-)
1000013 -1000024 14|BR(~mu_L -> ~chi_1- nu_mu)
2000013
2000013 1000022 13|BR(~mu_R -> ~chi_10 mu-)
2000013 1000023 13|BR(~mu_R -> ~chi_20 mu-)
2000013 1000025 13|BR(~mu_R -> ~chi_30 mu-)
1000015
1000015 1000022 15|BR(~tau_1 -> ~chi_10 tau-)
2000015
2000015 1000022 15|BR(~tau_2 -> ~chi_10 tau-)
2000015 1000015 25|BR(~tau_2 -> ~tau_1 h)
2000015 1000015 23|BR(~tau_2 -> ~tau_1 Z)
1000012
1000012 1000022 12|BR(~nu_eL -> ~chi_10 nu_e)
1000012 1000023 12|BR(~nu_eL -> ~chi_20 nu_e)
1000012 1000025 12|BR(~nu_eL -> ~chi_30 nu_e)
1000012 1000024 11|BR(~nu_eL -> ~chi_1+ e-)
1000014
1000014 1000022 14|BR(~nu_muL -> ~chi_10 nu_mu)
1000014 1000023 14|BR(~nu_muL -> ~chi_20 nu_mu)
1000014 1000025 14|BR(~nu_muL -> ~chi_30 nu_mu)
1000014 1000024 13|BR(~nu_muL -> ~chi_1+ mu-)
1000016
1000016 1000022 16|BR(~nu_tauL -> ~chi_10 nu_tau)
1000016 -1000015 -24|BR(~nu_tauL -> ~tau_1+ W-)
1000024
1000024 1000006 -5|BR(~chi_1+ -> ~t_1 bb)
